,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
3750,1.3,984,-200,5.6,795,63,838,1570,676,25.4,54.6,1.7483,78
3751,1.0,919,-200,4.5,737,49,899,1534,611,25.1,55.7,1.7471,63
3752,0.6,847,-200,2.5,618,30,1075,1442,529,25.1,55.3,1.733,42
3753,0.4,802,-200,1.7,559,-200,1232,1414,478,25.0,56.0,1.7428,-200
3754,0.4,795,-200,1.8,569,18,1178,1426,497,25.2,55.0,1.7405,27
3755,0.4,809,-200,1.9,578,22,1170,1445,513,25.6,53.5,1.7291,29
3756,0.5,835,-200,2.6,626,39,1088,1471,563,24.7,55.9,1.7114,41
3757,1.1,967,-200,6.3,826,68,821,1639,822,24.0,57.2,1.6835,61
3758,1.2,969,-200,6.8,849,84,800,1626,890,25.0,53.2,1.663,68
3759,0.9,913,-200,4.7,749,54,911,1535,742,28.0,43.4,1.6162,58
3760,0.9,933,-200,4.7,748,51,948,1551,629,31.6,35.5,1.6269,52
3761,1.0,922,-200,4.0,712,52,924,1494,609,35.0,29.0,1.6017,57
3762,0.8,914,-200,4.3,726,44,959,1496,534,35.3,27.6,1.5512,51
3763,0.8,873,-200,3.8,699,47,999,1413,528,36.2,24.1,1.4235,53
3764,0.7,831,-200,3.4,676,37,1041,1350,463,34.8,24.5,1.3373,49
3765,0.7,840,-200,3.6,685,33,1051,1339,462,38.2,19.6,1.2915,44
3766,0.7,874,-200,3.6,686,36,1032,1402,501,38.9,20.3,1.382,48
3767,0.7,896,-200,3.6,687,33,1006,1438,493,36.9,27.1,1.6683,46
3768,0.9,964,-200,5.1,769,40,873,1546,572,35.2,32.1,1.7898,56
3769,1.2,1001,-200,6.6,838,56,801,1614,668,32.0,38.2,1.788,73
3770,1.4,1005,-200,7.3,868,71,779,1633,771,29.8,41.8,1.7269,85
3771,1.2,979,-200,6.1,818,57,797,1590,732,28.2,45.9,1.7272,72
3772,1.0,935,-200,5.2,774,43,825,1562,687,27.1,48.2,1.7075,53
3773,0.9,939,-200,4.9,758,40,858,1544,664,26.7,49.5,1.7048,47
3774,0.7,878,-200,3.5,684,26,947,1475,588,26.1,50.8,1.6917,37
3775,0.5,848,-200,3.0,650,24,989,1479,610,25.7,52.5,1.7077,34
3776,0.5,826,-200,2.7,631,24,1028,1473,593,24.8,55.4,1.7054,33
3777,0.4,804,-200,2.2,597,-200,1077,1454,566,23.8,57.5,1.6723,-200
3778,-200.0,789,-200,2.0,584,18,1107,1457,571,22.4,62.2,1.6648,27
3779,0.4,785,-200,2.4,612,18,1054,1443,614,22.5,61.8,1.6654,27
3780,0.4,772,-200,2.0,584,19,1149,1414,566,22.7,59.2,1.6139,27
3781,0.5,796,-200,2.5,623,22,1064,1425,594,23.0,58.4,1.6223,28
3782,0.7,875,-200,3.5,682,34,983,1457,611,23.9,56.3,1.6489,36
3783,1.1,955,-200,6.0,811,61,841,1562,759,26.3,50.1,1.6889,59
3784,1.0,938,-200,5.3,778,46,896,1520,700,32.1,34.0,1.6039,56
3785,1.2,954,-200,6.3,826,56,870,1531,691,35.8,25.7,1.4861,70
3786,1.1,875,-200,4.8,753,31,978,1402,579,38.3,19.8,1.3067,36
3787,0.6,810,-200,3.2,664,11,1123,1312,478,37.3,20.5,1.286,17
3788,0.4,746,-200,2.6,624,8,1227,1209,410,36.3,18.4,1.0976,14
3789,0.4,738,-200,2.4,610,14,1281,1204,404,36.8,16.9,1.0347,24
3790,0.5,771,-200,3.0,652,21,1223,1239,440,37.9,15.9,1.0296,36
3791,0.6,799,-200,3.1,658,26,1216,1254,461,36.7,17.1,1.0398,43
3792,0.8,831,-200,3.4,679,37,1143,1291,526,33.8,21.9,1.1303,60
3793,1.0,885,-200,4.6,743,53,1016,1379,647,32.6,24.6,1.1885,81
3794,1.1,883,-200,4.4,731,56,988,1384,693,30.6,28.4,1.2247,87
3795,1.1,906,-200,5.5,790,51,936,1430,729,29.4,30.5,1.2288,85
3796,1.6,982,-200,8.2,906,79,784,1561,1002,28.4,34.4,1.314,91
3797,0.9,892,-200,5.0,766,38,880,1399,797,28.3,34.1,1.2951,55
3798,0.7,841,-200,4.0,711,25,956,1367,685,27.8,35.2,1.2968,42
3799,0.7,859,-200,3.7,693,24,988,1377,710,25.3,39.7,1.2656,43
3800,0.5,810,-200,3.1,657,11,1016,1337,629,24.5,41.5,1.2589,20
3801,0.4,759,-200,1.8,566,-200,1175,1267,503,24.8,39.8,1.2231,-200
3802,0.3,749,-200,1.5,543,16,1238,1244,462,23.3,41.9,1.1856,23
3803,0.4,766,-200,2.4,616,43,1163,1306,530,21.5,45.6,1.1558,43
3804,0.9,865,-200,5.4,783,86,893,1446,838,21.3,47.0,1.1793,68
3805,1.3,924,-200,8.5,920,92,767,1534,946,22.2,45.0,1.1867,62
3806,1.6,973,-200,10.9,1010,102,722,1616,1014,23.6,40.8,1.1746,65
3807,2.1,1028,-200,12.0,1048,171,719,1624,1135,27.1,32.4,1.1462,93
3808,2.0,979,-200,10.6,999,148,796,1515,1027,33.4,20.1,1.0142,110
3809,1.4,892,-200,7.4,874,119,923,1369,749,35.3,17.0,0.9546,106
3810,1.4,892,-200,7.3,869,71,953,1363,632,37.4,14.7,0.9295,77
3811,0.9,836,-200,4.6,741,53,1065,1277,479,38.6,14.6,0.9821,60
3812,0.8,824,-200,4.0,708,61,1091,1256,463,35.8,17.8,1.0274,67
3813,0.8,825,-200,3.8,702,53,1077,1267,458,38.4,16.4,1.0957,57
3814,1.0,871,-200,5.0,761,61,1015,1346,520,39.7,15.3,1.0963,60
3815,1.3,903,-200,6.9,853,72,930,1420,606,38.8,15.8,1.0706,69
3816,1.3,944,-200,7.0,857,67,880,1463,631,35.2,22.3,1.2467,77
3817,1.3,969,-200,6.8,850,70,857,1503,695,31.7,28.2,1.2962,77
3818,1.6,1005,-200,8.5,919,81,788,1543,871,30.4,30.9,1.3219,87
3819,1.4,972,-200,8.0,898,79,807,1508,879,29.5,32.1,1.3005,88
3820,1.3,960,-200,5.7,798,73,854,1459,780,28.0,34.9,1.2989,84
3821,1.0,946,-200,5.1,767,57,870,1443,728,28.2,36.6,1.3722,65
3822,0.9,959,-200,5.5,787,45,830,1460,821,26.5,40.7,1.3873,54
3823,0.6,877,-200,3.1,658,25,964,1349,663,28.3,36.7,1.3878,37
3824,0.5,867,-200,2.9,645,23,1001,1385,656,25.7,43.8,1.4233,36
3825,0.5,836,-200,2.6,626,-200,1024,1397,639,24.3,49.0,1.4666,-200
3826,0.4,820,-200,2.2,597,18,1069,1346,603,24.3,48.3,1.4449,29
3827,0.4,828,-200,2.5,618,23,1039,1354,560,23.6,49.2,1.4153,25
3828,1.0,929,-200,5.6,791,59,841,1493,789,22.2,53.9,1.4201,41
3829,2.2,1118,-200,12.9,1079,135,638,1761,1145,22.5,52.3,1.41,68
3830,2.5,1155,-200,16.0,1181,167,580,1850,1302,24.3,47.8,1.4321,82
3831,2.3,1112,-200,12.2,1058,190,654,1695,1297,27.3,40.7,1.4548,137
3832,2.0,1094,-200,10.0,979,142,717,1633,1192,33.3,28.2,1.4189,119
3833,-200.0,1022,-200,7.8,890,-200,803,1499,862,35.3,23.1,1.2989,-200
3834,-200.0,968,-200,5.9,805,-200,875,1391,649,36.1,21.3,1.2502,-200
3835,-200.0,978,-200,6.6,840,-200,852,1422,694,38.5,18.0,1.2055,-200
3836,-200.0,947,-200,4.8,751,-200,922,1358,595,36.5,20.8,1.2446,-200
3837,-200.0,997,-200,5.9,808,-200,870,1447,662,38.8,19.1,1.3035,-200
3838,-200.0,1026,-200,6.0,813,-200,843,1463,692,38.8,19.8,1.3513,-200
3839,-200.0,973,-200,5.0,764,-200,914,1373,619,38.1,19.7,1.2928,-200
3840,-200.0,925,-200,4.2,721,-200,969,1317,484,36.1,20.7,1.2151,-200
3841,-200.0,957,-200,5.0,766,-200,929,1380,516,32.8,24.3,1.1894,-200
3842,-200.0,1029,-200,7.5,877,-200,807,1489,776,30.4,29.8,1.2712,-200
3843,-200.0,1109,-200,9.3,952,-200,735,1601,1041,29.1,33.6,1.3314,-200
3844,-200.0,1105,-200,10.0,977,-200,692,1618,1138,28.6,35.7,1.3726,-200
3845,-200.0,1039,-200,8.2,906,-200,728,1545,1091,28.0,36.1,1.3425,-200
3846,-200.0,965,-200,6.4,832,-200,795,1455,978,25.8,39.5,1.2949,-200
3847,-200.0,955,-200,6.0,812,-200,823,1464,936,25.1,40.1,1.2544,-200
3848,-200.0,935,-200,5.4,782,-200,847,1428,867,24.4,42.5,1.2854,-200
3849,-200.0,902,-200,4.4,735,-200,890,1410,781,23.0,46.2,1.2783,-200
3850,-200.0,875,-200,4.1,714,-200,903,1379,746,22.5,46.7,1.261,-200
3851,-200.0,884,-200,4.3,729,-200,920,1389,837,22.9,45.7,1.2621,-200
3852,-200.0,942,-200,6.3,825,-200,870,1450,995,23.8,41.8,1.2149,-200
3853,-200.0,1077,-200,10.9,1012,-200,708,1633,1138,24.4,42.6,1.2866,-200
3854,-200.0,1040,-200,11.2,1022,-200,713,1624,998,27.3,36.8,1.3189,-200
3855,-200.0,982,-200,6.5,836,-200,840,1498,696,29.6,35.4,1.4426,-200
3856,-200.0,995,-200,5.7,800,-200,896,1501,615,34.6,28.3,1.5338,-200
3857,-200.0,1024,-200,7.0,859,-200,810,1576,710,33.1,32.6,1.6188,-200
3858,-200.0,1029,-200,5.6,791,-200,855,1567,651,33.3,33.1,1.6642,-200
3859,-200.0,1003,-200,5.5,787,-200,850,1518,636,34.6,30.1,1.6296,-200
3860,-200.0,987,-200,5.4,782,-200,875,1514,593,34.9,29.5,1.6275,-200
3861,-200.0,1023,-200,7.0,859,-200,810,1590,684,35.6,28.5,1.6293,-200
3862,1.4,1023,-200,7.4,875,83,785,1590,711,36.4,27.1,1.6226,71
3863,1.7,1064,-200,9.1,942,94,735,1650,801,36.8,26.2,1.5984,78
3864,1.5,1042,-200,8.9,936,84,759,1630,770,36.4,26.8,1.6038,72
3865,1.7,1059,-200,9.2,947,90,733,1671,813,33.3,32.8,1.6527,74
3866,1.6,1050,-200,8.5,921,91,743,1683,851,31.3,39.5,1.7798,70
3867,1.4,1025,-200,7.9,896,70,738,1693,823,29.9,44.7,1.8511,55
3868,1.4,1029,-200,6.1,816,75,804,1624,778,29.1,48.4,1.9186,54
3869,1.4,1055,-200,6.4,831,72,769,1686,827,28.0,52.9,1.964,53
3870,1.2,1001,-200,5.7,799,59,800,1642,753,27.7,53.0,1.9423,46
3871,0.9,936,-200,4.4,730,48,864,1551,726,27.7,52.6,1.9202,38
3872,0.6,863,-200,2.3,608,41,1035,1465,597,28.3,49.5,1.8782,30
3873,0.4,834,-200,1.8,565,-200,1187,1444,473,28.8,49.0,1.9112,-200
3874,0.5,841,-200,1.9,578,11,1144,1464,463,27.7,52.5,1.923,16
3875,0.5,871,-200,2.4,611,11,1077,1494,526,27.5,53.0,1.9097,12
3876,0.8,962,-200,4.7,747,37,862,1605,712,27.1,54.4,1.9168,38
3877,1.4,1083,-200,7.8,889,72,725,1734,918,27.6,52.1,1.8936,56
3878,1.2,1061,-200,7.8,891,53,721,1697,894,29.0,48.5,1.9133,57
3879,1.0,1012,-200,6.3,824,31,803,1612,710,31.0,42.9,1.8909,39
3880,1.2,1031,-200,6.5,834,47,793,1640,737,32.5,39.4,1.8982,47
3881,1.1,1011,-200,6.1,816,33,830,1614,680,36.9,30.9,1.8934,35
3882,1.2,1009,-200,6.3,824,35,822,1606,670,36.2,30.6,1.8105,44
3883,1.1,980,-200,5.6,793,32,858,1549,654,37.7,27.7,1.778,43
3884,1.0,961,-200,5.8,803,23,852,1552,618,37.1,27.2,1.6874,34
3885,1.0,966,-200,5.4,784,27,870,1530,652,39.5,24.3,1.7216,36
3886,1.2,1022,-200,6.8,849,32,813,1583,732,39.9,23.8,1.7127,44
3887,1.7,1091,-200,9.3,953,51,723,1688,853,39.6,24.3,1.7255,63
3888,1.7,1063,-200,8.5,919,46,735,1676,821,37.2,29.1,1.8185,60
3889,1.7,1116,-200,9.3,952,62,702,1759,895,33.9,37.1,1.9264,66
3890,1.7,1101,-200,7.4,875,65,722,1748,927,31.6,43.6,1.9944,68
3891,-200.0,1072,-200,6.4,831,-200,757,1677,857,30.3,47.3,2.0034,-200
3892,-200.0,1080,-200,7.8,890,-200,723,1702,869,29.8,49.1,2.0248,-200
3893,-200.0,1005,-200,5.6,792,-200,809,1638,725,29.0,51.7,2.0375,-200
3894,-200.0,998,-200,5.3,776,-200,810,1608,665,28.5,52.1,2.0036,-200
3895,-200.0,1000,-200,5.0,763,-200,807,1619,680,27.7,53.7,1.9661,-200
3896,-200.0,932,-200,4.2,720,-200,859,1562,605,27.4,53.5,1.9267,-200
3897,-200.0,808,-200,1.4,539,-200,1206,1383,427,28.5,48.7,1.872,-200
3898,-200.0,795,-200,1.0,494,-200,1398,1353,400,28.9,48.4,1.8982,-200
3899,-200.0,886,-200,2.4,613,-200,1075,1484,522,27.1,54.8,1.9309,-200
3900,-200.0,974,-200,4.5,740,-200,873,1595,703,26.1,59.0,1.9669,-200
3901,-200.0,1112,-200,8.9,936,-200,683,1792,965,26.7,58.0,2.0023,-200
3902,-200.0,1175,-200,12.9,1080,-200,591,1931,1102,27.9,54.9,2.0353,-200
3903,-200.0,1091,-200,8.6,925,-200,701,1753,1058,29.7,50.5,2.0767,-200
3904,-200.0,1066,-200,7.8,890,-200,747,1690,906,32.2,41.4,1.9624,-200
3905,-200.0,1031,-200,7.7,887,-200,777,1665,844,35.6,32.2,1.8408,-200
3906,-200.0,1004,-200,7.3,868,-200,772,1632,763,35.7,31.4,1.8025,-200
3907,-200.0,927,-200,3.8,698,-200,919,1537,555,35.5,34.9,1.9841,-200
3908,-200.0,924,-200,3.3,673,-200,960,1522,520,35.0,35.5,1.962,-200
3909,-200.0,912,-200,3.3,671,-200,964,1508,508,35.1,34.6,1.9255,-200
3910,-200.0,976,-200,4.8,752,-200,876,1561,545,36.8,30.5,1.8572,-200
3911,-200.0,989,-200,5.7,798,-200,840,1607,584,34.5,34.7,1.8667,-200
3912,-200.0,986,-200,5.6,794,-200,845,1619,590,33.0,38.1,1.8813,-200
3913,-200.0,984,-200,5.7,800,-200,836,1607,610,30.8,43.1,1.8761,-200
3914,-200.0,1000,-200,7.0,857,-200,767,1634,689,29.1,46.9,1.8652,-200
3915,-200.0,996,-200,6.8,848,-200,763,1657,713,28.2,49.8,1.8795,-200
3916,-200.0,1013,-200,8.3,913,-200,717,1685,785,27.5,50.4,1.823,-200
3917,-200.0,1004,-200,6.9,851,-200,767,1632,754,27.3,49.1,1.7503,-200
3918,-200.0,949,-200,6.0,814,-200,824,1563,653,26.7,46.7,1.6121,-200
3919,-200.0,895,-200,5.4,783,-200,863,1502,575,26.0,45.0,1.4913,-200
3920,-200.0,863,-200,3.9,707,-200,927,1407,537,25.0,47.3,1.4771,-200
3921,-200.0,786,-200,2.0,587,-200,1150,1300,413,25.3,44.3,1.4032,-200
3922,-200.0,792,-200,2.2,597,-200,1137,1320,417,24.3,46.3,1.3857,-200
3923,-200.0,816,-200,3.0,653,-200,1058,1332,486,24.8,43.4,1.3347,-200
3924,-200.0,826,-200,3.5,682,-200,1088,1342,532,24.5,40.6,1.2327,-200
3925,-200.0,826,-200,3.8,698,-200,1017,1331,542,25.7,36.9,1.1991,-200
3926,-200.0,809,-200,3.2,664,-200,1061,1323,459,26.8,35.0,1.2175,-200
3927,-200.0,809,-200,2.6,624,-200,1131,1309,415,28.0,34.9,1.3008,-200
3928,-200.0,853,-200,3.5,681,-200,1031,1368,457,29.0,34.1,1.3445,-200
3929,-200.0,814,-200,3.1,657,-200,1086,1332,429,30.4,30.8,1.3155,-200
3930,-200.0,807,-200,3.1,658,-200,1113,1328,428,32.4,26.3,1.2523,-200
3931,-200.0,811,-200,3.0,653,-200,1120,1336,423,31.0,28.9,1.277,-200
3932,-200.0,796,-200,2.2,601,-200,1171,1314,410,29.3,33.1,1.322,-200
3933,-200.0,833,-200,3.0,649,-200,1142,1354,437,26.9,35.2,1.2334,-200
3934,-200.0,856,-200,3.5,684,-200,1023,1368,520,28.1,34.2,1.2802,-200
3935,-200.0,830,-200,3.7,696,-200,1060,1328,461,28.5,29.4,1.1298,-200
3936,-200.0,883,-200,5.4,782,-200,958,1395,571,27.3,31.0,1.111,-200
3937,-200.0,965,-200,8.9,936,-200,808,1535,866,25.4,36.2,1.1562,-200
3938,-200.0,931,-200,7.8,890,-200,831,1474,841,24.6,38.0,1.158,-200
3939,-200.0,885,-200,5.6,791,-200,941,1425,706,24.3,41.6,1.2467,-200
3940,-200.0,900,-200,5.2,773,-200,944,1426,703,24.9,40.8,1.2696,-200
3941,-200.0,904,-200,6.7,845,-200,878,1483,775,23.8,44.7,1.3019,-200
3942,-200.0,944,-200,8.0,900,-200,809,1549,830,22.8,49.8,1.367,-200
3943,-200.0,907,-200,6.4,832,-200,868,1492,808,22.8,49.4,1.3568,-200
3944,-200.0,886,-200,5.2,774,-200,868,1486,815,20.9,57.4,1.4037,-200
3945,-200.0,882,-200,5.1,767,-200,856,1492,897,20.5,60.6,1.447,-200
3946,-200.0,843,-200,4.0,713,-200,917,1426,836,19.6,63.7,1.4396,-200
3947,-200.0,825,-200,3.7,694,-200,935,1415,774,19.4,64.5,1.4394,-200
3948,-200.0,791,-200,2.8,638,-200,1038,1389,698,18.6,67.4,1.4302,-200
3949,-200.0,856,-200,4.5,735,-200,936,1455,800,19.6,63.7,1.4419,-200
3950,-200.0,861,-200,4.7,746,-200,911,1448,771,21.7,56.4,1.4496,-200
3951,-200.0,924,-200,6.0,814,-200,830,1519,798,25.2,47.4,1.4978,-200
3952,-200.0,941,-200,5.8,805,-200,842,1512,755,30.4,34.1,1.4577,-200
3953,-200.0,879,-200,5.2,775,-200,899,1407,657,33.4,25.1,1.2665,-200
3954,-200.0,816,-200,4.6,742,-200,1009,1305,537,35.5,18.2,1.0376,-200
3955,-200.0,715,-200,2.1,589,-200,1286,1127,390,35.1,15.7,0.8757,-200
3956,-200.0,717,-200,1.8,570,-200,1326,1110,368,33.3,17.1,0.8592,-200
3957,-200.0,711,-200,2.8,640,-200,1224,1084,391,36.6,11.8,0.7107,-200
3958,-200.0,731,-200,3.6,686,-200,1212,1104,413,38.3,10.0,0.6591,-200
3959,-200.0,752,-200,4.0,713,-200,1163,1144,435,37.3,10.9,0.6846,-200
3960,-200.0,879,-200,5.3,779,-200,999,1347,535,34.6,20.0,1.0817,-200
3961,-200.0,922,-200,7.4,874,-200,851,1447,663,30.4,28.2,1.204,-200
3962,-200.0,958,-200,8.0,900,-200,782,1493,830,28.1,34.3,1.2821,-200
3963,-200.0,949,-200,7.4,876,-200,773,1500,911,26.5,36.6,1.2484,-200
3964,-200.0,922,-200,6.1,818,-200,826,1454,848,25.7,38.5,1.2548,-200
3965,-200.0,902,-200,5.5,790,-200,856,1428,799,24.7,41.6,1.2751,-200
3966,-200.0,932,-200,6.2,820,-200,817,1462,921,23.6,45.4,1.3067,-200
3967,-200.0,870,-200,4.4,733,-200,903,1392,762,23.4,46.3,1.3134,-200
3968,-200.0,812,-200,3.4,675,-200,995,1348,661,21.6,51.6,1.3171,-200
3969,-200.0,773,-200,2.4,613,-200,1065,1321,597,21.2,53.3,1.328,-200
3970,-200.0,769,-200,2.0,582,-200,1105,1306,616,20.6,55.1,1.3237,-200
3971,-200.0,763,-200,2.0,583,-200,1093,1288,596,22.1,49.6,1.3022,-200
3972,-200.0,809,-200,3.8,701,-200,997,1384,649,21.1,51.6,1.2784,-200
3973,-200.0,893,-200,7.6,881,-200,810,1486,792,21.8,48.6,1.2556,-200
3974,-200.0,1028,-200,14.9,1146,-200,638,1766,1080,21.7,49.1,1.2602,-200
3975,2.0,1011,-200,12.0,1051,111,702,1659,1087,25.3,41.7,1.3243,-200
3976,-200.0,994,-200,9.2,947,-200,764,1572,983,30.3,30.9,1.3096,-200
3977,1.6,937,-200,8.2,908,86,822,1466,826,32.9,24.9,1.2269,83
3978,1.3,902,-200,5.9,808,57,912,1408,632,34.4,23.5,1.2541,64
3979,1.0,860,-200,4.7,748,39,955,1344,532,34.3,22.5,1.1974,50
3980,0.9,843,-200,4.1,716,41,1005,1305,496,33.4,21.6,1.0927,53
3981,1.0,872,-200,4.9,760,47,979,1314,513,36.1,18.4,1.0827,57
3982,1.1,857,-200,5.2,775,45,979,1258,512,37.3,15.4,0.9692,55
3983,1.5,922,-200,7.5,878,60,880,1363,615,36.8,16.2,0.9922,70
3984,1.5,951,-200,7.4,875,51,856,1406,600,34.9,20.9,1.1463,68
3985,1.6,962,-200,7.8,891,53,813,1442,634,30.8,26.5,1.1603,73
3986,1.7,957,-200,8.6,926,72,758,1480,830,28.9,28.3,1.1078,92
3987,1.4,928,-200,6.5,837,62,808,1410,871,27.0,30.7,1.079,80
3988,1.2,895,-200,6.8,846,41,819,1371,787,26.6,30.6,1.0459,60
3989,1.1,902,-200,5.7,797,32,845,1355,841,26.0,33.1,1.0955,49
3990,1.1,904,-200,5.8,801,44,852,1400,862,24.1,37.9,1.1204,53
3991,1.2,919,-200,5.7,799,29,844,1409,881,22.2,43.1,1.1396,50
3992,0.7,812,-200,3.2,663,18,982,1265,709,22.8,41.3,1.1284,34
3993,0.5,776,-200,2.1,590,-200,1099,1245,602,21.2,43.8,1.088,-200
3994,0.4,762,-200,1.7,563,12,1181,1208,492,21.7,42.6,1.0907,21
3995,0.7,786,-200,2.8,642,39,1057,1270,592,20.2,47.1,1.1021,48
3996,1.1,868,-200,5.7,798,83,866,1392,824,20.1,47.8,1.1093,71
3997,1.6,965,-200,10.0,977,149,725,1515,1014,20.6,45.5,1.0925,94
3998,2.3,1049,-200,14.5,1133,216,630,1662,1208,22.4,41.1,1.0979,118
3999,1.6,1008,-200,9.9,973,153,714,1509,1178,25.0,36.6,1.143,105
4000,2.0,1008,-200,11.2,1021,177,714,1549,1176,29.9,26.2,1.0891,122
4001,1.6,973,-200,8.3,911,126,800,1441,891,32.9,21.8,1.0714,121
4002,1.6,964,-200,9.5,959,96,787,1438,731,35.0,17.9,0.99,115
4003,1.3,923,-200,7.1,862,92,875,1363,626,34.6,18.2,0.9832,107
4004,1.0,934,-200,6.0,811,75,896,1343,553,33.8,22.8,1.1781,86
4005,1.6,1036,-200,9.1,943,109,770,1509,770,36.3,19.5,1.1539,118
4006,2.0,1076,-200,10.4,994,133,723,1549,938,38.3,17.9,1.181,129
4007,1.7,1055,-200,8.7,927,87,757,1520,716,36.9,20.9,1.2864,90
4008,1.7,1081,-200,9.0,938,80,728,1568,714,33.9,30.0,1.56,87
4009,1.4,1072,-200,6.8,850,70,737,1604,702,29.8,43.4,1.7988,65
4010,1.3,1038,-200,5.2,773,67,749,1568,687,27.5,50.4,1.8274,61
4011,1.3,1059,-200,5.7,800,66,740,1604,739,27.5,50.4,1.8284,62
4012,1.6,1070,-200,6.9,852,97,704,1639,867,28.1,48.0,1.7933,85
4013,1.8,1093,-200,7.8,893,90,677,1678,927,26.9,49.6,1.7299,83
4014,1.5,1016,-200,6.8,849,99,729,1609,872,26.0,48.0,1.5899,84
4015,1.3,988,-200,6.3,825,71,756,1559,848,24.9,50.6,1.5747,71
4016,1.1,930,-200,4.7,749,59,823,1464,777,23.7,53.2,1.5418,62
4017,0.5,815,-200,2.0,584,-200,1102,1363,513,24.5,50.9,1.5416,-200
4018,0.6,884,-200,3.6,686,26,908,1439,651,22.9,56.1,1.5492,40
4019,0.7,913,-200,4.4,730,47,883,1493,774,23.3,55.5,1.5636,50
4020,1.1,994,-200,6.4,829,108,784,1581,982,23.6,54.2,1.5583,78
4021,1.9,1173,-200,11.9,1047,160,631,1815,1175,24.9,52.9,1.643,89
4022,3.5,1314,-200,21.0,1325,204,499,2143,1390,26.4,50.8,1.7166,106
4023,2.9,1252,-200,15.6,1168,193,557,1938,1352,28.1,47.4,1.7753,107
4024,2.2,1151,-200,12.1,1053,146,623,1835,1152,30.2,43.2,1.823,93
4025,2.0,1122,-200,9.3,951,126,687,1729,1022,31.2,41.9,1.871,95
4026,1.7,1111,-200,8.7,927,90,707,1715,922,33.9,36.0,1.8692,78
4027,1.6,1058,-200,7.9,894,84,736,1648,825,33.9,34.1,1.7754,76
4028,1.3,972,-200,6.2,820,60,811,1535,630,34.4,30.6,1.6402,66
4029,1.3,985,-200,6.3,826,66,808,1544,621,35.3,28.5,1.6034,71
4030,1.3,1004,-200,6.0,814,57,808,1520,602,36.3,28.3,1.6851,61
4031,1.6,1030,-200,7.9,897,71,733,1592,668,35.3,29.4,1.6577,73
4032,1.3,965,-200,5.8,802,51,821,1504,564,32.5,34.1,1.6453,54
4033,1.4,987,-200,6.3,824,49,793,1541,581,29.1,42.1,1.6695,53
4034,1.4,923,-200,6.0,811,59,804,1434,604,27.8,35.6,1.3116,69
4035,1.3,872,-200,6.3,824,66,853,1346,590,27.0,30.0,1.0542,77
4036,1.4,939,-200,6.8,849,72,804,1479,650,26.3,37.3,1.2555,83
4037,1.5,954,-200,7.0,855,89,792,1474,745,25.2,40.8,1.2877,94
4038,1.5,969,-200,7.0,857,75,753,1485,821,24.3,43.3,1.2973,84
4039,0.9,882,-200,5.0,763,38,879,1388,656,23.3,45.3,1.2794,55
4040,0.6,805,-200,2.8,637,24,1048,1276,520,24.1,44.0,1.3034,35
4041,0.5,790,-200,2.1,590,-200,1122,1257,493,23.8,44.8,1.3061,-200
4042,-200.0,779,-200,1.7,560,19,1189,1231,487,23.0,47.7,1.3232,31
4043,0.5,842,-200,2.8,640,40,1070,1293,595,23.7,46.7,1.3501,45
4044,1.0,-200,-200,-200.0,-200,63,-200,-200,-200,-200.0,-200.0,-200.0,59
4045,1.9,-200,-200,-200.0,-200,121,-200,-200,-200,-200.0,-200.0,-200.0,83
4046,2.6,-200,-200,-200.0,-200,143,-200,-200,-200,-200.0,-200.0,-200.0,90
4047,1.7,-200,-200,-200.0,-200,104,-200,-200,-200,-200.0,-200.0,-200.0,87
4048,1.7,-200,-200,-200.0,-200,111,-200,-200,-200,-200.0,-200.0,-200.0,83
4049,1.4,-200,-200,-200.0,-200,83,-200,-200,-200,-200.0,-200.0,-200.0,71
4050,1.6,-200,-200,-200.0,-200,90,-200,-200,-200,-200.0,-200.0,-200.0,77
4051,1.3,-200,-200,-200.0,-200,82,-200,-200,-200,-200.0,-200.0,-200.0,75
4052,0.9,-200,-200,-200.0,-200,48,-200,-200,-200,-200.0,-200.0,-200.0,52
4053,1.4,-200,-200,-200.0,-200,89,-200,-200,-200,-200.0,-200.0,-200.0,76
4054,1.0,-200,-200,-200.0,-200,58,-200,-200,-200,-200.0,-200.0,-200.0,60
4055,2.2,-200,-200,-200.0,-200,129,-200,-200,-200,-200.0,-200.0,-200.0,99
4056,1.9,-200,-200,-200.0,-200,103,-200,-200,-200,-200.0,-200.0,-200.0,88
4057,2.1,-200,-200,-200.0,-200,115,-200,-200,-200,-200.0,-200.0,-200.0,91
4058,1.7,-200,-200,-200.0,-200,108,-200,-200,-200,-200.0,-200.0,-200.0,91
4059,1.0,-200,-200,-200.0,-200,60,-200,-200,-200,-200.0,-200.0,-200.0,68
4060,1.1,-200,-200,-200.0,-200,68,-200,-200,-200,-200.0,-200.0,-200.0,71
4061,0.7,-200,-200,-200.0,-200,36,-200,-200,-200,-200.0,-200.0,-200.0,49
4062,1.3,-200,-200,-200.0,-200,81,-200,-200,-200,-200.0,-200.0,-200.0,71
4063,1.3,-200,-200,-200.0,-200,91,-200,-200,-200,-200.0,-200.0,-200.0,76
4064,1.0,-200,-200,-200.0,-200,65,-200,-200,-200,-200.0,-200.0,-200.0,67
