CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
1.2,989,-200,4.0,713,72,954,1552,626,27.6,47.5,1.7266,78
1.3,975,-200,5.5,788,70,851,1629,701,34.5,35.1,1.8856,54
2.0,1272,200,9.5,959,159,846,1660,1136,13.3,61.7,0.9399,91
3.0,1051,-200,15.3,1157,186,760,1787,963,28.6,22.3,0.859,147
-200.0,1094,-200,10.5,996,76,876,1807,864,27.2,42.5,1.5135,53
2.5,1251,-200,13.7,1107,297,579,1657,1407,21.3,66.1,1.6556,91
2.0,1210,-200,16.3,1188,305,583,1575,1129,16.2,70.1,1.2837,75
1.1,906,-200,2.8,637,166,1024,1070,761,8.6,76.6,0.8586,81
4.5,1309,-200,23.1,1379,524,555,1841,1693,20.9,45.8,1.1159,175
3.8,1407,426,18.3,1249,213,720,1932,1276,17.0,43.1,0.8264,129
0.7,913,-200,4.6,743,65,931,1540,884,21.8,52.3,1.3539,66
1.1,1007,-200,7.2,864,65,816,1639,987,22.6,51.0,1.3805,71
-200.0,829,-200,1.8,570,-200,1304,1357,562,14.2,62.9,1.0136,-200
4.9,-200,-200,-200.0,-200,641,-200,-200,-200,-200.0,-200.0,-200.0,215
5.2,1529,575,20.4,1309,270,627,2083,1385,14.0,76.3,1.2166,141
-200.0,941,25,2.6,626,59,1316,1373,840,12.3,66.2,0.945,59
1.2,1143,-200,6.1,818,279,646,1316,1122,14.0,68.6,1.0918,103
3.2,1288,-200,17.3,1220,576,937,1391,1594,9.6,53.7,0.6409,165
3.2,1439,224,15.3,1159,193,764,1856,1494,15.7,60.2,1.0654,125
3.2,1181,405,13.9,1114,147,787,1685,1032,18.3,35.9,0.7501,119
1.6,979,-200,5.1,767,-200,827,1041,908,3.3,82.6,0.645,-200
1.4,988,40,4.1,718,82,1396,1304,692,7.1,61.8,0.6276,91
2.0,1117,-200,11.9,1045,207,761,1623,1260,38.3,17.0,1.1216,154
1.2,1160,-200,5.1,770,212,702,1063,1447,2.8,74.1,0.5618,121
1.9,1208,-200,6.9,853,98,1060,1506,647,20.3,38.0,0.8942,89
-200.0,1313,-200,17.7,1231,-200,626,1889,1455,23.0,60.2,1.6652,-200
1.5,970,-200,6.2,819,224,923,959,926,5.0,48.8,0.429,101
0.5,831,-200,1.4,537,124,1158,722,768,-1.2,47.2,0.27,96
3.7,1321,-200,15.8,1175,494,525,1366,1279,25.1,21.8,0.6854,212
0.8,973,-200,6.0,810,-200,820,1599,1002,25.8,46.6,1.5269,-200
1.0,1189,-200,5.7,797,312,688,1157,1213,10.3,55.9,0.7014,174
1.6,1042,-200,7.9,894,95,916,1537,800,41.4,15.5,1.2089,109
0.9,905,47,3.3,670,79,1191,1346,820,10.2,65.8,0.8196,62
2.2,911,-200,5.3,777,310,913,796,852,0.8,36.3,0.2388,159
5.9,1470,-200,31.4,1584,771,436,1641,2033,8.2,36.2,0.3953,195
1.9,1122,178,8.0,897,118,991,1372,831,19.1,26.5,0.579,91
4.3,1254,-200,13.8,1111,521,630,1360,1198,5.8,84.5,0.7822,151
1.4,1153,-200,5.7,798,187,715,1184,678,21.5,35.7,0.905,109
1.5,989,-200,10.3,990,113,822,1577,705,33.2,20.4,1.0195,138
1.2,969,-200,6.8,849,84,800,1626,890,25.0,53.2,1.663,68
4.5,1338,-200,18.1,1244,592,558,1847,1255,20.2,79.1,1.85,144
0.5,766,-200,1.2,523,19,1534,1310,387,12.6,72.2,1.0503,30
1.0,884,-200,3.1,658,126,982,813,581,8.7,31.2,0.3521,102
0.8,895,-200,5.1,767,55,931,1463,985,25.7,33.9,1.1065,69
0.8,873,-200,3.4,679,-200,1010,1501,713,26.6,43.0,1.4773,-200
4.4,1468,-200,20.0,1296,414,529,1854,1590,22.6,59.5,1.6155,142
4.1,1281,-200,15.6,1168,655,571,1195,1756,6.7,39.6,0.3906,212
1.8,1087,-200,11.1,1018,130,791,1624,883,40.1,16.1,1.1699,132
-200.0,1281,-200,26.6,1469,287,491,2179,1669,24.0,36.6,1.0763,136
-200.0,937,-200,4.6,741,-200,1058,1420,923,16.2,53.4,0.9775,-200
2.6,1299,-200,17.5,1225,179,620,2077,1327,25.7,49.7,1.615,102
3.3,1120,-200,16.0,1181,-200,653,1604,1028,31.1,21.0,0.9337,-200
4.6,1357,-200,25.6,1445,295,620,2195,1622,33.7,27.7,1.4213,206
1.4,973,-200,7.1,862,149,850,1436,957,20.6,53.2,1.2742,81
0.2,697,-200,0.5,437,44,1705,702,325,5.3,38.8,0.3473,39
3.0,1206,-200,14.4,1131,493,592,1675,1201,17.4,79.3,1.5593,106
3.7,1348,-200,23.8,1398,515,505,1847,1444,20.3,58.4,1.3745,101
-200.0,1163,-200,11.2,1022,95,695,1644,1141,30.9,29.0,1.275,102
-200.0,1122,-200,6.0,811,181,641,1336,1122,16.2,71.2,1.3013,92
2.7,1146,-200,14.3,1125,363,846,1511,1016,33.4,20.3,1.027,149
1.9,984,-200,8.3,913,326,762,930,990,14.1,18.1,0.2884,127
-200.0,985,-200,9.5,957,-200,773,1426,860,20.8,45.8,1.1126,-200
0.6,852,-200,0.8,482,67,1187,726,496,3.8,41.0,0.3327,65
2.1,994,-200,7.3,871,279,793,997,836,4.7,47.2,0.4075,174
3.8,1273,-200,15.3,1159,470,645,1704,1341,26.2,42.5,1.423,187
1.6,1195,-200,6.5,836,-200,987,1554,885,15.2,57.9,0.9941,-200
4.0,1456,-200,19.8,1291,641,490,1753,1592,18.1,62.1,1.2822,137
1.4,1070,-200,6.8,850,94,997,1502,778,24.8,29.5,0.9077,91
2.7,1254,226,11.5,1033,142,819,1669,1068,14.3,52.9,0.8581,107
-200.0,879,-200,2.4,611,-200,1036,1189,779,16.6,59.6,1.117,-200
-200.0,983,-200,2.2,600,-200,1233,1375,485,15.0,61.5,1.0418,-200
1.1,940,-200,3.2,665,188,900,955,879,1.4,76.3,0.5261,112
0.3,950,-200,4.8,754,38,1003,1325,551,40.1,13.6,0.9953,53
0.6,857,-200,1.7,562,78,1140,1130,646,11.9,79.6,1.1043,54
-200.0,1117,-200,5.8,802,85,1029,1539,818,15.4,57.8,1.0021,87
-200.0,1363,-200,12.6,1071,-200,697,1763,1178,25.7,55.8,1.8149,-200
-200.0,945,-200,2.9,646,44,1308,1332,505,13.8,54.6,0.8574,55
4.2,1376,-200,17.0,1209,740,549,1283,2041,6.1,54.7,0.5201,190
0.8,793,-200,1.8,570,95,1143,1036,524,14.0,55.2,0.8807,59
4.0,1319,-200,17.7,1230,494,551,1785,1381,20.8,65.8,1.6001,109
2.7,1260,263,12.0,1050,156,828,1722,979,10.7,68.5,0.8794,111
4.0,1475,-200,21.0,1324,475,490,1925,1530,23.3,57.9,1.6376,115
2.5,1157,305,12.6,1072,137,888,1596,905,17.7,28.6,0.5735,114
-200.0,1488,-200,34.5,1653,-200,388,2537,1782,23.7,54.0,1.5627,-200
0.5,825,-200,1.4,536,39,1203,1302,498,19.4,70.4,1.5663,32
0.5,862,-200,3.4,677,96,973,1192,725,16.1,69.3,1.2591,43
1.2,959,-200,5.0,763,56,976,1561,549,31.9,30.3,1.4125,58
1.0,1007,-200,3.4,677,116,863,1053,848,5.0,82.5,0.7265,97
1.0,1040,55,2.9,646,71,1210,1325,555,13.0,59.6,0.886,78
-200.0,871,-200,3.7,694,-200,1160,1421,779,10.1,71.8,0.888,-200
-200.0,1327,-200,17.8,1233,-200,582,1968,1403,22.5,68.9,1.8511,-200
2.4,1119,-200,10.2,984,311,688,1539,1082,20.1,66.7,1.5548,90
3.9,1384,-200,18.9,1265,255,620,2143,1307,16.4,72.4,1.3379,124
0.3,753,9,0.7,462,16,1822,955,274,13.9,30.9,0.4868,25
2.6,1274,226,13.8,1109,161,820,1723,1138,8.1,70.5,0.7627,80
1.0,918,-200,6.4,830,-200,875,1548,785,20.4,51.3,1.2131,-200
2.0,1059,-200,11.9,1047,178,761,1549,841,29.6,28.6,1.1628,106
2.3,1264,-200,12.9,1081,318,555,1323,951,25.9,21.9,0.7209,177
4.3,1462,-200,12.9,1080,599,522,1274,1889,5.3,66.8,0.5979,229
3.2,1270,-200,12.8,1077,615,583,1353,1586,13.1,58.5,0.877,178
4.5,1293,-200,14.6,1136,542,631,1365,1278,5.2,83.1,0.7411,170
0.3,785,14,0.5,448,16,1923,1003,263,13.5,37.9,0.5852,26
1.8,1049,-200,10.4,994,139,813,1580,881,39.5,15.6,1.102,123
2.1,1150,-200,7.8,891,331,684,1198,1002,13.9,43.8,0.6937,179
1.0,-200,-200,-200.0,-200,244,-200,-200,-200,-200.0,-200.0,-200.0,82
1.2,992,-200,3.5,685,166,890,902,818,11.2,34.5,0.4586,126
1.9,1009,199,8.4,916,103,1015,1391,738,16.3,30.8,0.5683,85
1.2,895,-200,6.7,845,102,1072,1241,763,19.1,22.8,0.501,96
0.7,774,-200,2.0,583,98,1246,966,457,16.6,38.2,0.7186,57
1.7,1248,-200,9.0,939,281,565,1458,1229,16.5,68.1,1.2653,93
0.8,-200,-200,-200.0,-200,133,-200,-200,-200,-200.0,-200.0,-200.0,61
1.6,990,-200,7.6,881,133,985,1685,874,22.4,47.9,1.2817,81
-200.0,1249,-200,11.2,1023,-200,639,1640,1034,25.7,49.2,1.5988,-200
2.3,1122,-200,6.4,831,393,722,982,1317,7.4,43.8,0.4538,210
1.7,-200,-200,-200.0,-200,108,-200,-200,-200,-200.0,-200.0,-200.0,91
0.9,890,-200,2.2,601,101,1053,803,391,8.8,40.0,0.4538,82
1.5,-200,-200,-200.0,-200,92,-200,-200,-200,-200.0,-200.0,-200.0,89
1.8,1091,-200,9.2,945,213,698,1467,1014,18.4,68.5,1.439,62
1.6,1045,138,7.0,857,92,968,1410,922,15.3,41.5,0.7194,93
2.7,1207,-200,11.2,1023,473,629,1233,1373,6.2,62.4,0.5958,188
1.2,991,-200,7.9,896,69,857,1616,926,27.2,38.9,1.3821,78
1.3,-200,-200,-200.0,-200,91,-200,-200,-200,-200.0,-200.0,-200.0,76
0.8,874,-200,5.3,776,99,846,1416,873,23.1,49.9,1.3891,73
-200.0,814,-200,3.4,678,-200,1276,1339,626,15.5,51.7,0.9019,-200
0.4,796,-200,1.3,526,25,1534,1322,392,21.4,47.8,1.2005,36
3.2,1423,394,18.3,1247,245,706,1887,1684,23.7,31.0,0.8968,142
1.7,1022,-200,6.9,854,285,771,941,926,10.5,27.8,0.3525,187
3.2,1416,511,21.9,1348,169,684,1969,1330,27.7,26.5,0.9693,126
0.1,1127,-200,7.6,884,248,704,1173,983,4.0,80.4,0.663,136
2.4,1250,-200,10.9,1012,343,585,1249,1192,26.1,20.8,0.6959,173
1.2,1032,-200,3.6,688,109,1514,1200,737,15.6,66.6,1.1763,67
3.1,1397,-200,15.3,1159,134,681,1949,1207,20.2,52.9,1.234,100
2.3,1173,-200,14.4,1130,208,648,1885,1401,23.2,43.9,1.2344,120
2.5,1216,-200,11.1,1020,377,605,1337,1379,10.0,73.2,0.8988,133
0.3,814,-200,2.5,618,-200,1097,1400,696,21.6,46.1,1.1761,-200
3.1,1112,-200,12.8,1078,563,683,1028,1426,11.9,18.6,0.2581,261
6.3,1467,-200,34.1,1643,615,467,2088,1749,23.2,36.9,1.0346,201
-200.0,1297,-200,13.5,1100,-200,598,1710,1350,21.5,63.2,1.5993,-200
4.5,1392,-200,21.0,1325,1145,511,1631,1465,11.2,80.7,1.0688,194
1.8,1069,-200,7.9,897,249,729,1364,998,19.1,59.2,1.295,83
6.2,1664,-200,36.6,1699,685,385,2305,2062,22.2,61.0,1.6071,134
3.2,1225,-200,10.2,985,464,635,1255,1169,7.2,69.5,0.7084,199
2.4,1120,-200,11.9,1045,264,752,1563,975,31.8,27.4,1.2673,122
2.8,1222,-200,13.0,1084,157,727,1797,1108,17.7,56.3,1.13,116
2.9,1268,-200,18.7,1259,167,519,2114,1410,26.0,55.8,1.8536,62
2.6,1183,-200,12.0,1049,146,762,1594,1290,19.6,37.0,0.8325,112
5.5,1553,-200,31.0,1575,383,508,2423,1779,14.5,59.8,0.9795,120
4.0,1584,664,23.8,1399,244,642,1947,1675,13.3,35.6,0.5416,130
2.0,1004,-200,10.9,1011,108,867,1754,893,24.6,41.9,1.2752,116
0.9,1208,-200,8.3,911,318,613,1245,1244,13.7,52.1,0.8121,166
3.3,1363,-200,12.4,1064,679,536,1350,1353,12.0,56.1,0.7832,221
2.2,1207,-200,9.3,950,368,623,1303,1162,8.1,64.8,0.7039,204
-200.0,1029,-200,7.1,862,-200,727,1539,733,27.9,43.1,1.6004,-200
2.4,1018,-200,11.3,1024,345,758,1400,1169,18.1,39.9,0.8232,128
4.9,1352,-200,23.3,1385,280,563,2205,1661,34.0,32.9,1.7251,197
-200.0,942,-200,5.4,783,-200,898,1397,568,36.2,21.4,1.2664,-200
0.9,1005,-200,2.5,620,111,846,1098,572,12.1,67.3,0.948,83
2.1,1084,-200,9.8,970,132,818,1626,845,19.5,45.5,1.0189,98
1.2,979,67,4.5,736,75,1154,1324,769,9.9,59.5,0.7276,92
0.6,884,-200,2.0,587,163,999,863,566,10.7,42.8,0.5489,107
6.6,1571,-200,30.3,1559,544,440,2277,1516,21.7,66.6,1.7077,106
0.5,801,-200,0.6,454,51,1374,727,348,3.0,43.4,0.3337,44
1.4,-200,-200,-200.0,-200,83,-200,-200,-200,-200.0,-200.0,-200.0,71
-200.0,1398,-200,15.2,1156,-200,812,1722,1076,25.1,27.1,0.8496,-200
2.4,1153,-200,11.8,1042,184,733,1700,1022,23.2,43.2,1.2104,136
1.4,942,98,6.9,852,89,1055,1318,540,21.4,22.7,0.5722,89
1.4,946,-200,5.3,780,249,945,1142,801,15.2,50.1,0.858,99
1.9,970,-200,11.2,1023,134,787,1552,1074,26.3,27.3,0.9238,123
1.0,914,-200,5.2,774,53,1091,1323,706,20.0,31.5,0.7262,65
6.5,1706,-200,33.9,1641,1218,381,1778,2522,8.9,54.2,0.6183,239
-200.0,950,-200,5.0,762,60,827,1616,959,21.9,72.8,1.8944,69
1.0,892,-200,5.1,771,55,965,1465,494,32.0,28.2,1.3204,76
2.6,1062,-200,8.1,903,270,717,1141,720,4.2,77.8,0.6491,190
4.2,1611,284,19.2,1274,279,754,1915,1697,15.7,44.1,0.7786,161
0.8,860,-200,2.4,616,104,1105,873,754,10.5,37.8,0.4799,76
4.3,1191,-200,10.7,1005,347,637,1224,1284,5.9,62.1,0.5808,166
1.9,1006,-200,6.5,836,245,1226,1210,902,9.6,79.9,0.9579,113
1.6,1090,-200,6.0,812,242,753,1213,1001,12.1,65.6,0.9222,117
2.1,1074,-200,7.2,867,285,888,1064,1221,8.7,55.2,0.6225,112
-200.0,1036,-200,8.1,902,-200,825,1558,1087,11.9,71.1,0.9899,-200
0.8,977,-200,3.3,673,179,830,1060,902,7.5,70.9,0.7358,99
2.6,982,-200,10.7,1003,498,1037,1117,1072,17.2,22.4,0.4354,189
4.0,1476,-200,19.4,1280,249,708,1955,1378,16.1,50.2,0.9094,147
-200.0,1024,-200,9.9,976,-200,747,1386,1030,16.3,53.3,0.9809,-200
3.6,1365,-200,21.6,1341,543,549,2033,1518,21.6,67.7,1.7254,96
1.9,1090,-200,8.3,910,317,701,1192,974,5.1,74.5,0.6621,210
1.4,939,-200,4.3,726,219,890,955,508,18.9,26.2,0.5667,137
1.4,1030,-200,4.2,724,204,832,893,1285,4.4,43.3,0.3656,138
0.8,980,62,3.4,677,73,1141,1435,659,14.6,58.8,0.9711,64
2.3,1101,-200,8.2,908,295,707,1025,1095,7.8,37.6,0.4004,204
0.7,817,-200,2.8,639,51,1260,1364,489,14.6,61.1,1.0075,48
1.9,1050,-200,12.9,1082,121,705,1731,816,36.9,22.7,1.3887,157
1.9,1046,-200,9.5,960,189,671,1637,899,23.7,55.4,1.6031,96
1.7,1071,-200,8.9,936,209,695,1516,1249,17.9,72.4,1.4758,63
1.1,1020,-200,10.7,1003,97,904,1716,916,21.7,46.9,1.2044,96
1.7,1335,-200,14.8,1141,482,512,1536,1501,13.7,67.0,1.0446,133
2.5,1293,-200,12.4,1064,283,522,1446,1229,23.5,34.2,0.9748,131
-200.0,1320,-200,24.8,1423,-200,767,1986,1385,27.0,23.5,0.8256,-200
0.2,812,-200,1.2,521,-200,1413,1233,469,21.2,32.9,0.8178,-200
3.3,1303,-200,14.4,1128,460,489,1573,1541,17.7,55.6,1.112,152
0.8,886,-200,1.8,568,81,1015,992,438,15.6,47.1,0.8273,72
2.4,1310,-200,16.5,1194,266,538,1781,1487,24.4,55.4,1.6712,83
1.6,1112,-200,6.9,851,231,694,1184,931,6.9,71.3,0.7118,157
1.8,1131,-200,8.8,932,104,854,1693,1048,19.4,54.6,1.2184,86
2.6,1418,116,10.9,1010,172,892,1603,1536,14.7,49.3,0.8193,130
-200.0,1021,-200,10.9,1010,-200,1116,1480,1027,21.7,29.2,0.7458,-200
2.3,1171,-200,10.0,978,344,637,1374,1092,12.5,63.2,0.9113,138
0.7,898,33,1.7,559,55,1441,1180,648,10.1,51.2,0.6341,70
3.0,-200,-200,-200.0,-200,119,-200,-200,-200,-200.0,-200.0,-200.0,99
1.0,865,-200,3.6,687,75,1191,1388,521,20.3,44.1,1.0392,78
0.1,808,-200,2.8,636,101,1120,862,770,4.1,52.2,0.4338,75
-200.0,1074,-200,4.4,731,-200,1020,1488,891,12.9,69.1,1.0264,-200
-200.0,1160,-200,9.2,948,371,712,1072,1289,7.9,41.6,0.4459,191
2.2,1185,245,10.4,992,138,942,1448,1014,20.9,21.7,0.5295,97
2.7,1053,-200,13.3,1093,-200,873,1749,924,26.2,32.6,1.0892,-200
3.3,1121,-200,11.2,1023,504,725,1053,1354,4.8,45.1,0.3925,169
-200.0,1020,-200,7.1,863,-200,933,1492,1074,18.8,45.8,0.9855,-200
2.4,1056,-200,12.0,1051,163,826,1758,1078,27.5,32.6,1.176,116
1.7,1162,-200,10.8,1008,183,658,1556,1160,20.9,61.3,1.4923,60
-200.0,1506,-200,23.3,1385,-200,555,2260,1935,23.8,63.5,1.8495,-200
4.0,1261,-200,14.8,1143,452,595,1208,1477,8.3,39.5,0.4318,186
-200.0,747,-200,1.5,543,-200,1276,1100,469,14.6,57.6,0.9517,-200
1.0,911,-200,2.4,613,148,992,934,861,2.4,71.9,0.5288,82
-200.0,818,-200,0.8,473,47,1257,898,323,13.7,48.8,0.7606,41
1.5,914,-200,6.7,845,93,972,1583,703,22.3,44.9,1.1973,82
-200.0,895,-200,2.3,609,-200,1268,1410,477,13.8,72.7,1.1402,-200
-200.0,893,-200,7.6,881,-200,810,1486,792,21.8,48.6,1.2556,-200
1.9,1071,-200,9.4,955,232,940,1311,977,14.9,59.9,1.0063,103
1.9,1116,-200,7.7,888,258,695,1176,980,8.6,56.3,0.6312,156
1.9,1114,-200,7.3,872,197,857,1310,991,16.8,58.7,1.1109,98
3.0,1190,-200,15.9,1177,168,695,1934,1046,30.3,30.8,1.3044,128
-200.0,1265,-200,17.4,1221,-200,578,1760,1354,22.2,51.3,1.3543,-200
-200.0,981,-200,10.1,983,-200,759,1370,942,14.8,56.3,0.9459,-200
2.4,1264,237,8.7,928,132,884,1534,1035,15.9,43.5,0.779,102
1.4,940,-200,3.6,686,190,903,1005,648,4.5,75.5,0.6429,150
2.4,1071,-200,7.7,885,284,740,1298,1090,15.7,60.9,1.0774,133
1.7,1260,-200,12.3,1059,417,544,1319,1161,19.3,29.9,0.6604,180
1.6,1039,-200,6.7,845,300,775,993,1268,3.4,60.9,0.4809,142
0.8,834,-200,2.7,632,111,1102,871,746,11.5,34.2,0.4621,83
3.0,1147,-200,6.8,848,195,636,1289,938,16.4,57.2,1.0574,101
1.6,966,-200,9.5,959,92,838,1686,852,21.8,46.3,1.1913,95
2.0,1189,-200,7.3,870,263,821,1272,1251,13.2,75.8,1.1459,97
0.8,940,-200,4.0,709,47,956,1641,588,25.2,67.1,2.1164,52
4.9,1460,-200,27.6,1493,277,586,2288,1649,37.3,23.4,1.4672,222
-200.0,1027,-200,6.3,827,-200,942,1529,742,16.0,56.2,1.0164,-200
1.6,1043,-200,4.3,726,195,875,972,1107,4.5,63.5,0.5411,105
1.7,1111,-200,7.6,884,310,751,1280,1025,13.1,66.2,0.9933,81
-200.0,949,-200,7.4,876,-200,773,1500,911,26.5,36.6,1.2484,-200
-200.0,930,-200,4.6,741,125,849,1392,843,19.6,71.3,1.612,48
-200.0,1232,-200,10.9,1012,-200,642,1595,1211,20.6,64.0,1.5346,-200
0.8,899,-200,5.8,803,87,1221,1426,596,22.4,31.3,0.8365,83
3.5,1440,-200,19.1,1271,251,630,2163,1273,15.1,76.8,1.3061,107
-200.0,833,-200,4.5,737,-200,1021,1162,483,20.8,37.4,0.9107,-200
1.6,-200,-200,-200.0,-200,224,-200,-200,-200,-200.0,-200.0,-200.0,92
1.8,1072,-200,7.9,894,76,893,1646,1118,17.1,60.4,1.1633,74
1.1,975,-200,3.9,707,192,860,902,1107,3.4,54.7,0.4323,128
4.7,1472,-200,16.6,1198,832,555,1344,1735,9.0,51.8,0.5961,191
4.0,1462,-200,18.1,1242,149,637,1961,1552,20.7,46.4,1.1227,83
1.3,1020,-200,4.5,736,213,854,1069,923,8.1,68.0,0.7396,93
1.2,1052,-200,3.9,704,141,807,1210,909,13.2,69.9,1.0526,96
-200.0,942,-200,7.3,871,-200,832,1314,765,17.9,46.5,0.9474,-200
8.0,2040,685,39.2,1754,404,542,2679,2122,20.4,42.5,1.0086,187
3.2,1162,-200,15.7,1170,503,618,1131,1425,14.1,18.2,0.2908,204
0.5,959,-200,5.1,771,217,852,975,808,11.8,35.4,0.4877,138
3.3,1394,-200,13.8,1111,209,736,1853,1288,21.2,47.5,1.1828,123
1.6,988,-200,7.0,859,-200,845,1341,799,27.1,26.9,0.9524,-200
0.5,919,-200,3.9,704,-200,861,1603,860,24.4,65.0,1.9612,-200
1.4,1055,-200,8.6,922,95,784,1634,990,30.1,33.9,1.4257,79
3.0,1317,-200,19.9,1295,891,593,1883,1592,26.1,46.4,1.5445,172
-200.0,1102,-200,10.8,1007,120,777,1534,880,39.2,16.4,1.1439,131
3.5,1035,-200,14.7,1141,399,670,1018,1196,10.4,18.0,0.2269,200
1.8,1078,-200,5.2,775,230,809,1012,1195,4.7,62.9,0.5424,112
3.0,1147,-200,12.7,1073,720,628,1415,1198,11.8,76.1,1.0516,210
0.7,931,-200,3.3,670,-200,931,1326,792,18.7,68.5,1.4586,-200
2.4,-200,-200,-200.0,-200,201,-200,-200,-200,-200.0,-200.0,-200.0,68
1.9,888,-200,10.9,1009,340,866,937,973,14.7,16.6,0.2756,137
0.5,703,-200,1.1,512,81,2121,837,356,10.5,37.9,0.4821,48
0.5,853,-200,4.1,716,45,1047,1414,707,20.8,40.2,0.9725,58
1.7,1099,-200,11.0,1015,125,763,1732,839,38.8,20.7,1.4036,117
-200.0,792,-200,1.0,501,21,1554,1252,354,16.2,53.0,0.9672,25
2.6,1127,-200,9.6,962,345,751,1120,1389,10.6,51.2,0.6541,125
1.3,1076,-200,5.1,770,195,721,1093,1107,11.9,53.4,0.7414,134
3.6,-200,-200,-200.0,-200,487,-200,-200,-200,-200.0,-200.0,-200.0,174
-200.0,1096,-200,13.9,1112,118,687,1694,865,32.0,24.9,1.1663,122
0.9,954,-200,7.5,879,78,837,1550,834,21.6,44.0,1.1244,82
2.5,1192,-200,13.0,1085,266,617,1638,1170,26.6,42.5,1.4568,79
-200.0,1147,-200,10.6,999,176,697,1788,915,34.7,32.1,1.741,158
1.3,836,-200,4.5,740,255,987,1046,672,12.4,44.1,0.6324,117
1.6,981,-200,8.4,917,78,740,1649,714,29.7,41.7,1.7081,93
3.0,1297,461,16.1,1183,159,765,1773,1242,23.6,31.3,0.9001,130
2.3,1205,-200,10.5,996,289,559,1456,1101,21.9,45.1,1.1687,122
0.9,908,-200,4.1,715,38,988,1479,495,35.0,31.1,1.7173,46
1.2,985,-200,3.6,691,205,878,1056,902,7.7,71.9,0.7575,97
2.6,1090,-200,10.1,981,279,1513,1390,1044,11.8,76.1,1.0544,113
3.4,-200,-200,-200.0,-200,584,-200,-200,-200,-200.0,-200.0,-200.0,191
-200.0,1067,-200,13.0,1085,-200,684,1548,985,23.3,40.4,1.1421,-200
2.7,1035,-200,13.8,1110,148,907,1652,1044,18.5,39.4,0.832,125
3.1,1319,-200,15.5,1164,454,489,1543,1418,15.1,58.6,0.9982,144
2.1,1212,-200,8.5,918,281,593,1308,1066,17.5,46.0,0.9104,160
2.7,1189,-200,12.7,1075,429,614,1652,1222,18.2,74.0,1.5343,108
1.8,1120,-200,7.8,890,-200,728,1546,1035,23.6,49.6,1.4247,-200
1.3,967,-200,6.1,814,-200,854,1385,703,30.1,26.7,1.1217,-200
-200.0,1154,-200,5.5,788,223,709,1065,1390,5.1,65.9,0.5827,146
1.0,923,-200,5.0,765,47,952,1508,786,26.7,40.0,1.3754,63
3.5,1351,465,17.0,1210,195,709,1783,1374,19.3,35.4,0.7824,120
1.5,1025,-200,5.6,795,259,783,967,881,8.9,37.9,0.4318,155
1.6,1053,-200,7.9,895,58,745,1727,882,27.3,57.8,2.0646,46
1.2,974,-200,6.5,833,46,864,1577,565,36.8,29.5,1.8037,67
1.3,1000,-200,5.3,779,171,805,1001,640,24.0,19.3,0.5673,115
1.1,932,-200,5.0,765,58,1054,1543,575,17.3,59.5,1.1667,61
5.3,1573,-200,25.3,1436,679,407,1747,2056,12.8,46.2,0.6794,207
0.4,815,-200,0.9,488,63,1223,742,326,11.2,38.3,0.5099,49
3.0,1146,-200,11.8,1043,386,639,1169,1248,8.1,41.0,0.4458,204
0.1,1053,-200,3.3,671,132,807,1137,570,10.6,66.1,0.8444,88
0.6,878,-200,1.2,518,50,1294,1149,539,13.8,81.3,1.2767,42
1.3,902,-200,5.9,808,57,912,1408,632,34.4,23.5,1.2541,64
4.6,1277,-200,21.4,1335,586,551,1636,1331,10.0,71.5,0.8768,182
2.6,1167,-200,13.2,1090,281,626,1620,1106,18.0,71.5,1.4615,62
-200.0,815,-200,1.7,565,-200,1127,1350,541,22.9,59.4,1.6353,-200
2.7,1100,-200,9.9,974,420,728,1131,1208,9.4,48.7,0.5748,130
2.0,1075,-200,10.5,996,115,649,1838,1113,25.4,56.2,1.7961,84
-200.0,911,-200,4.6,745,-200,922,1428,924,19.9,65.5,1.5078,-200
1.7,891,-200,7.8,891,287,874,1077,848,13.5,31.8,0.4876,121
1.3,949,-200,5.8,804,-200,835,1365,740,25.4,35.2,1.1255,-200
1.8,1110,-200,10.9,1012,91,720,1725,905,38.8,24.7,1.6772,96
0.7,941,-200,3.5,685,50,895,1632,834,25.9,63.6,2.102,32
-200.0,758,-200,0.2,388,20,1785,765,274,3.7,56.3,0.453,20
2.2,1136,-200,10.5,995,132,727,1591,1236,25.8,33.0,1.0826,114
0.7,827,-200,2.4,610,102,1092,1120,636,13.1,67.7,1.0198,71
0.9,948,35,2.7,634,43,1320,1326,715,11.3,60.0,0.8025,61
2.6,1103,-200,11.8,1044,283,757,1523,967,30.5,29.3,1.2612,125
-200.0,995,-200,8.0,898,-200,761,1409,1023,17.5,63.5,1.2622,-200
2.7,1179,-200,15.1,1153,172,654,1877,1096,27.0,35.3,1.2396,-200
1.3,977,-200,5.7,800,-200,843,1372,778,27.6,34.2,1.2464,-200
0.5,927,54,1.9,579,-200,1267,1370,562,14.5,61.4,1.0041,-200
2.2,990,-200,7.8,891,261,908,1278,765,21.5,31.4,0.7943,99
1.4,960,-200,8.2,909,70,910,1523,675,37.7,16.0,1.0231,86
0.6,811,-200,2.9,644,76,1144,1289,655,18.2,60.8,1.2567,44
